TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_bin,CustomerAge_bin,Target
14.089999999999975,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,"(-1.019, -0.75]","(0.579, 1.981]",2
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,"(0.256, 2.051]","(0.579, 1.981]",2
126.29000000000002,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 08:07:04,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",3
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",2
13.449999999999989,2023-10-16 17:51:24,Credit,Atlanta,Online,44.67844382691544,Student,198.0,1.0,7429.4,2024-11-04 08:06:39,"(-1.019, -0.75]","(-0.711, 0.579]",0
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",2
7.079999999999984,2023-02-15 16:36:48,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09,"(-1.019, -0.75]","(-0.711, 0.579]",1
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55,"(-0.75, -0.33]","(0.579, 1.981]",2
106.23000000000002,2023-03-21 16:59:46,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14,"(-0.75, -0.33]","(-0.711, 0.579]",1
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,2024-11-04 08:06:32,"(0.256, 2.051]","(-0.711, 0.579]",1
17.779999999999973,2023-03-14 16:46:10,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,2024-11-04 08:06:45,"(-1.019, -0.75]","(-0.711, 0.579]",1
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",1
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",2
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",0
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,"(0.256, 2.051]","(-0.711, 0.579]",0
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,2024-11-04 08:07:35,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",0
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,"(0.256, 2.051]","(-0.711, 0.579]",0
18.680000000000007,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,2024-11-04 08:12:01,"(-1.019, -0.75]","(0.579, 1.981]",1
